City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,26.18,74,0,6.92,PF,2023-01-24 05:45:04
1,mataura,-46.1927,168.8643,17.75,48,10,2.76,NZ,2023-01-24 05:51:29
2,nikolskoye,59.7035,30.7861,-3.06,89,100,4.55,RU,2023-01-24 05:51:29
3,castro,-24.7911,-50.0119,16.04,95,70,1.11,BR,2023-01-24 05:51:29
4,upernavik,72.7868,-56.1549,-22.12,95,100,3.76,GL,2023-01-24 05:51:30
5,harbour breton,47.4833,-55.7983,5.65,98,100,12.91,CA,2023-01-24 05:51:30
6,fontainebleau,48.4044,2.6903,1.99,92,10,4.79,FR,2023-01-24 05:51:30
7,san angelo,31.4638,-100.437,9.97,45,100,6.26,US,2023-01-24 05:51:31
8,port-gentil,-0.7193,8.7815,26.98,89,100,1.54,GA,2023-01-24 05:51:31
9,uglovskoye,51.3557,80.1942,-11.77,92,99,4.58,RU,2023-01-24 05:51:31
10,kapaa,22.0752,-159.319,24.18,89,0,2.06,US,2023-01-24 05:51:32
11,port blair,11.6667,92.75,29.02,61,40,5.66,IN,2023-01-24 05:51:32
12,butaritari,3.0707,172.7902,27.2,79,51,7.86,KI,2023-01-24 05:51:32
13,moyale,3.5167,39.0584,23.94,42,3,4.25,KE,2023-01-24 05:51:32
14,calmar,53.2668,-113.8187,-0.28,84,75,3.6,CA,2023-01-24 05:51:33
15,hofn,64.2539,-15.2082,4.07,88,100,1.97,IS,2023-01-24 05:51:33
16,martapura,-3.4167,114.85,27.05,89,40,3.09,ID,2023-01-24 05:51:33
17,kahului,20.8947,-156.47,24.36,81,75,3.6,US,2023-01-24 05:51:34
18,gunjur,13.2019,-16.7339,20.5,75,12,3.37,GM,2023-01-24 05:51:34
19,punta arenas,-53.15,-70.9167,8.06,71,0,5.14,CL,2023-01-24 05:51:34
20,sujiatun,41.6592,123.3392,-16.9,35,0,4.0,CN,2023-01-24 05:51:35
21,alofi,-19.0595,-169.9187,27.94,78,14,1.03,NU,2023-01-24 05:51:35
22,lethem,3.3803,-59.7968,22.8,81,25,3.68,GY,2023-01-24 05:51:35
23,anadyr,64.75,177.4833,-21.72,59,0,2.0,RU,2023-01-24 05:51:36
24,barrow,71.2906,-156.7887,-20.99,77,75,7.2,US,2023-01-24 05:51:36
25,puerto ayora,-0.7393,-90.3518,23.08,95,64,0.91,EC,2023-01-24 05:51:36
26,yellowknife,62.456,-114.3525,-13.71,85,100,5.14,CA,2023-01-24 05:51:36
27,cape town,-33.9258,18.4232,20.06,83,75,6.17,ZA,2023-01-24 05:47:56
28,new norfolk,-42.7826,147.0587,24.72,55,38,2.24,AU,2023-01-24 05:51:37
29,ponta do sol,32.6667,-17.1,16.35,65,12,3.18,PT,2023-01-24 05:51:37
30,avarua,-21.2078,-159.775,25.03,94,20,1.03,CK,2023-01-24 05:50:49
31,victor harbor,-35.5667,138.6167,23.71,80,38,0.45,AU,2023-01-24 05:51:37
32,mar del plata,-38.0023,-57.5575,18.26,83,0,3.58,AR,2023-01-24 05:49:51
33,busselton,-33.65,115.3333,28.67,42,11,9.56,AU,2023-01-24 05:51:38
34,road town,18.4167,-64.6167,24.05,72,48,8.27,VG,2023-01-24 05:51:38
35,bluff,-46.6,168.3333,13.47,62,13,6.54,NZ,2023-01-24 05:51:38
36,marfino,55.7028,37.3822,-2.92,86,75,3.0,RU,2023-01-24 05:51:39
37,kutum,14.2,24.6667,14.84,16,68,2.55,SD,2023-01-24 05:51:39
38,norman wells,65.282,-126.8329,-26.98,76,75,1.03,CA,2023-01-24 05:51:39
39,niquero,20.0431,-77.5828,23.14,81,19,3.42,CU,2023-01-24 05:51:40
40,iqaluit,63.7506,-68.5145,-25.15,75,100,3.09,CA,2023-01-24 05:51:40
41,georgetown,5.4112,100.3354,29.99,71,20,2.57,MY,2023-01-24 05:51:40
42,praia da vitoria,38.7333,-27.0667,15.42,77,75,7.82,PT,2023-01-24 05:51:40
43,ballina,-28.8667,153.5667,26.55,84,22,7.42,AU,2023-01-24 05:51:41
44,cherskiy,68.75,161.3,-27.8,94,100,0.81,RU,2023-01-24 05:51:41
45,traverse city,44.7631,-85.6206,-0.89,85,100,5.66,US,2023-01-24 05:48:47
46,karoi,-16.8099,29.6925,17.47,98,99,2.11,ZW,2023-01-24 05:51:41
47,ushuaia,-54.8,-68.3,7.81,93,20,7.2,AR,2023-01-24 05:51:42
48,isla vista,34.4133,-119.861,12.13,65,0,0.0,US,2023-01-24 05:51:42
49,luderitz,-26.6481,15.1594,18.12,72,1,5.8,NA,2023-01-24 05:51:42
50,hithadhoo,-0.6,73.0833,27.05,76,62,5.81,MV,2023-01-24 05:51:43
51,khatanga,71.9667,102.5,-40.57,95,34,3.0,RU,2023-01-24 05:51:43
52,cabo san lucas,22.8909,-109.9124,17.61,72,100,0.89,MX,2023-01-24 05:51:43
53,domoni,-12.2569,44.5319,26.15,85,100,6.35,KM,2023-01-24 05:51:43
54,atuona,-9.8,-139.0333,26.3,77,10,9.15,PF,2023-01-24 05:51:44
55,qaanaaq,77.484,-69.3632,-23.55,68,94,3.11,GL,2023-01-24 05:51:44
56,vaini,-21.2,-175.2,30.09,79,40,2.57,TO,2023-01-24 05:51:44
57,pokosnoye,55.5258,101.0536,-16.95,92,100,2.32,RU,2023-01-24 05:51:45
58,cidreira,-30.1811,-50.2056,23.72,85,0,4.49,BR,2023-01-24 05:51:45
59,yumen,40.2833,97.2,-9.84,39,6,10.92,CN,2023-01-24 05:51:45
60,esil,51.9556,66.4042,-16.72,100,100,0.36,KZ,2023-01-24 05:51:46
61,geraldton,-28.7667,114.6,27.23,61,28,6.69,AU,2023-01-24 05:51:46
62,sorland,67.667,12.6934,2.92,59,96,11.77,NO,2023-01-24 05:51:46
63,ribeira grande,38.5167,-28.7,15.43,82,34,5.36,PT,2023-01-24 05:51:46
64,vardo,70.3705,31.1107,-2.01,69,20,14.4,NO,2023-01-24 05:51:47
65,valdosta,30.8327,-83.2785,6.1,90,0,2.57,US,2023-01-24 05:51:47
66,albany,42.6001,-73.9662,-0.8,84,78,4.35,US,2023-01-24 05:51:47
67,hamilton,39.1834,-84.5333,-0.65,87,0,3.09,US,2023-01-24 05:50:28
68,ariquemes,-9.9133,-63.0408,21.87,99,92,1.0,BR,2023-01-24 05:51:48
69,north platte,41.1239,-100.7654,-2.06,89,0,4.47,US,2023-01-24 05:51:20
70,chokurdakh,70.6333,147.9167,-35.08,99,97,1.55,RU,2023-01-24 05:51:48
71,winnemucca,40.973,-117.7357,-2.77,71,42,1.22,US,2023-01-24 05:51:48
72,goderich,43.7501,-81.7165,0.51,80,100,9.26,CA,2023-01-24 05:47:00
73,carnarvon,-24.8667,113.6333,28.71,60,42,6.78,AU,2023-01-24 05:51:49
74,buin,-33.7333,-70.75,22.08,75,0,0.44,CL,2023-01-24 05:51:49
75,airai,-8.9266,125.4092,19.85,79,100,1.29,TL,2023-01-24 05:51:49
76,bathsheba,13.2167,-59.5167,25.34,73,40,9.26,BB,2023-01-24 05:51:50
77,longyearbyen,78.2186,15.6401,-4.09,68,40,4.63,SJ,2023-01-24 05:51:50
78,torbay,47.6666,-52.7314,2.99,97,100,18.52,CA,2023-01-24 05:51:50
79,kudat,6.8837,116.8477,24.05,94,40,3.13,MY,2023-01-24 05:51:50
80,port lincoln,-34.7333,135.8667,20.08,63,16,7.26,AU,2023-01-24 05:51:51
81,portland,45.5234,-122.6762,7.07,85,75,0.0,US,2023-01-24 05:43:27
82,bredasdorp,-34.5322,20.0403,21.05,56,0,7.93,ZA,2023-01-24 05:51:51
83,puerto suarez,-18.95,-57.8,22.28,95,100,1.69,BO,2023-01-24 05:51:51
84,hermanus,-34.4187,19.2345,21.56,75,8,10.41,ZA,2023-01-24 05:51:52
85,tiksi,71.6872,128.8694,-33.1,100,96,1.59,RU,2023-01-24 05:51:52
